Trade Date,Symbol,Close
5/16/19,SNAP,11.42
5/17/19,SNAP,11.49
5/20/19,SNAP,11.19
5/21/19,SNAP,11.54
5/22/19,SNAP,11.31
5/23/19,SNAP,11.12
5/24/19,SNAP,11.56
5/28/19,SNAP,11.57
5/29/19,SNAP,11.68
5/30/19,SNAP,11.99
5/31/19,SNAP,11.89
6/3/19,SNAP,11.69
6/4/19,SNAP,12.95
6/5/19,SNAP,12.94
6/6/19,SNAP,13.82
6/7/19,SNAP,13.87
6/10/19,SNAP,13.77
6/11/19,SNAP,13.54
6/12/19,SNAP,13.75
6/13/19,SNAP,14.11
6/14/19,SNAP,13.96
6/17/19,SNAP,13.55
6/18/19,SNAP,14.86
6/19/19,SNAP,14.67
6/20/19,SNAP,14.84
6/21/19,SNAP,14.56
6/24/19,SNAP,14.76
6/25/19,SNAP,14.53
6/26/19,SNAP,14.71
6/27/19,SNAP,14.58
6/28/19,SNAP,14.3
7/1/19,SNAP,14.35
7/2/19,SNAP,14.1
7/3/19,SNAP,14.76
7/5/19,SNAP,15.23
7/8/19,SNAP,15.14
7/9/19,SNAP,15.25
7/10/19,SNAP,15.26
7/11/19,SNAP,15.57
7/12/19,SNAP,15.61
7/15/19,SNAP,15.5
7/16/19,SNAP,15
7/17/19,SNAP,14.93
7/18/19,SNAP,14.55
7/19/19,SNAP,14.02
7/22/19,SNAP,14.15
7/23/19,SNAP,14.83
7/24/19,SNAP,17.61
7/25/19,SNAP,17.69
7/26/19,SNAP,17.89
7/29/19,SNAP,17.5
7/30/19,SNAP,16.93
7/31/19,SNAP,16.8
8/1/19,SNAP,16.68
8/2/19,SNAP,17.03
8/5/19,SNAP,16.46
8/6/19,SNAP,16.29
8/7/19,SNAP,15.91
8/8/19,SNAP,16.76
8/9/19,SNAP,16.98
8/12/19,SNAP,16.81
8/13/19,SNAP,17
8/14/19,SNAP,16.36
8/15/19,SNAP,15.99
8/16/19,SNAP,15.98
8/19/19,SNAP,16.16
8/20/19,SNAP,16.08
8/21/19,SNAP,16.14
8/22/19,SNAP,16.08
8/23/19,SNAP,15.55
8/26/19,SNAP,16.11
8/27/19,SNAP,15.51
8/28/19,SNAP,15.55
8/29/19,SNAP,15.78
8/30/19,SNAP,15.83
9/3/19,SNAP,15.93
9/4/19,SNAP,15.8
9/5/19,SNAP,15.87
9/6/19,SNAP,16.62
9/9/19,SNAP,15.31
9/10/19,SNAP,15.02
9/11/19,SNAP,15.31
9/12/19,SNAP,15.77
9/13/19,SNAP,16
9/16/19,SNAP,15.76
9/17/19,SNAP,16.83
9/18/19,SNAP,16.9
9/19/19,SNAP,16.88
9/20/19,SNAP,17.04
9/23/19,SNAP,17.12
9/24/19,SNAP,17.04
9/25/19,SNAP,17.11
9/26/19,SNAP,17
9/27/19,SNAP,16.02
9/30/19,SNAP,15.8
10/1/19,SNAP,15.52
10/2/19,SNAP,14.8
10/3/19,SNAP,14.3
10/4/19,SNAP,14.52
10/7/19,SNAP,14.47
10/8/19,SNAP,14.15
10/9/19,SNAP,14.21
10/10/19,SNAP,14.08
10/11/19,SNAP,14.16
10/14/19,SNAP,13.76
10/15/19,SNAP,14.09
10/16/19,SNAP,13.67
10/17/19,SNAP,13.78
10/18/19,SNAP,13.52
10/21/19,SNAP,14.58
10/22/19,SNAP,14
10/23/19,SNAP,13.18
10/24/19,SNAP,13.52
10/25/19,SNAP,13.96
10/28/19,SNAP,14.68
10/29/19,SNAP,14.64
10/30/19,SNAP,14.86
10/31/19,SNAP,15.06
11/1/19,SNAP,15.18
11/4/19,SNAP,15.35
11/5/19,SNAP,14.83
11/6/19,SNAP,14.41
11/7/19,SNAP,14.16
11/8/19,SNAP,14.19
11/11/19,SNAP,14.39
11/12/19,SNAP,14.38
11/13/19,SNAP,14.47
11/14/19,SNAP,14.37
11/15/19,SNAP,13.94
11/18/19,SNAP,14.69
11/19/19,SNAP,15.16
11/20/19,SNAP,15.31
11/21/19,SNAP,15.08
11/22/19,SNAP,15.26
11/25/19,SNAP,15.5
11/26/19,SNAP,15.46
11/27/19,SNAP,15.35
11/29/19,SNAP,15.25
12/2/19,SNAP,14.6
12/3/19,SNAP,14.92
12/4/19,SNAP,15
12/5/19,SNAP,14.68
12/6/19,SNAP,14.74
12/9/19,SNAP,14.23
12/10/19,SNAP,14.09
12/11/19,SNAP,14.23
12/12/19,SNAP,14.45
12/13/19,SNAP,15.09
12/16/19,SNAP,15.11
12/17/19,SNAP,15.1
12/18/19,SNAP,15.11
12/19/19,SNAP,15.46
12/20/19,SNAP,15.55
12/23/19,SNAP,15.49
